"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
08,128,00676,SUB-DISTRICT,Chhabra,Rural,188,6,0,"23,464","1,20,144","62,823","57,321",791.05,152
08,128,00676,SUB-DISTRICT,Chhabra,Urban,0,0,1,"6,326","32,285","16,844","15,441",9.00,"3,587"
08,128,00677,SUB-DISTRICT,Chhipabarod,Total,176,6,1,"35,550","1,70,886","88,228","82,658",850.37,201
08,128,00677,SUB-DISTRICT,Chhipabarod,Rural,176,6,0,"31,731","1,52,049","78,573","73,476",847.37,179
08,128,00677,SUB-DISTRICT,Chhipabarod,Urban,0,0,1,"3,819","18,837","9,655","9,182",3.00,"6,279"
08,129,00000,DISTRICT,Jhalawar,Total,"1,488",118,9,"2,83,295","14,11,129","7,25,143","6,85,986",6219.00,227
08,129,00000,DISTRICT,Jhalawar,Rural,"1,488",118,0,"2,37,702","11,81,838","6,06,533","5,75,305",6109.11,193
08,129,00000,DISTRICT,Jhalawar,Urban,0,0,9,"45,593","2,29,291","1,18,610","1,10,681",109.89,"2,087"
08,129,00678,SUB-DISTRICT,Khanpur,Total,193,13,1,"32,687","1,73,193","89,958","83,235",919.09,188
08,129,00678,SUB-DISTRICT,Khanpur,Rural,193,13,0,"29,973","1,59,345","82,830","76,515",917.09,174
08,129,00678,SUB-DISTRICT,Khanpur,Urban,0,0,1,"2,714","13,848","7,128","6,720",2.00,"6,924"
08,129,00679,SUB-DISTRICT,Jhalrapatan,Total,353,37,3,"73,231","3,56,707","1,83,599","1,73,108",1266.95,282
08,129,00679,SUB-DISTRICT,Jhalrapatan,Rural,353,37,0,"50,258","2,42,470","1,24,380","1,18,090",1228.83,197
08,129,00679,SUB-DISTRICT,Jhalrapatan,Urban,0,0,3,"22,973","1,14,237","59,219","55,018",38.12,"2,997"
08,129,00680,SUB-DISTRICT,Aklera,Total,232,35,1,"37,091","1,78,571","92,070","86,501",780.30,229
08,129,00680,SUB-DISTRICT,Aklera,Rural,232,35,0,"31,962","1,52,331","78,355","73,976",775.30,196
08,129,00680,SUB-DISTRICT,Aklera,Urban,0,0,1,"5,129","26,240","13,715","12,525",5.00,"5,248"
08,129,00681,SUB-DISTRICT,Manohar Thana,Total,188,5,1,"30,016","1,43,075","73,213","69,862",624.28,229
08,129,00681,SUB-DISTRICT,Manohar Thana,Rural,188,5,0,"27,634","1,31,783","67,329","64,454",611.84,215
08,129,00681,SUB-DISTRICT,Manohar Thana,Urban,0,0,1,"2,382","11,292","5,884","5,408",12.44,908
08,129,00682,SUB-DISTRICT,Pachpahar,Total,133,8,1,"34,502","1,79,418","91,844","87,574",688.03,261
08,129,00682,SUB-DISTRICT,Pachpahar,Rural,133,8,0,"26,172","1,37,135","70,046","67,089",648.03,212
08,129,00682,SUB-DISTRICT,Pachpahar,Urban,0,0,1,"8,330","42,283","21,798","20,485",40.00,"1,057"
08,129,00683,SUB-DISTRICT,Pirawa,Total,205,13,1,"41,824","2,12,679","1,08,915","1,03,764",1028.53,207
08,129,00683,SUB-DISTRICT,Pirawa,Rural,205,13,0,"39,538","1,99,872","1,02,444","97,428",1019.53,196
08,129,00683,SUB-DISTRICT,Pirawa,Urban,0,0,1,"2,286","12,807","6,471","6,336",9.00,"1,423"
08,129,00684,SUB-DISTRICT,Gangdhar,Total,184,7,1,"33,944","1,67,486","85,544","81,942",911.83,184
08,129,00684,SUB-DISTRICT,Gangdhar,Rural,184,7,0,"32,165","1,58,902","81,149","77,753",908.50,175
08,129,00684,SUB-DISTRICT,Gangdhar,Urban,0,0,1,"1,779","8,584","4,395","4,189",3.33,"2,578"
08,130,00000,DISTRICT,Udaipur,Total,"2,471",8,17,"6,23,531","30,68,420","15,66,801","15,01,619",11724.00,262
08,130,00000,DISTRICT,Udaipur,Rural,"2,471",8,0,"4,95,973","24,59,994","12,51,316","12,08,678",11543.39,213
08,130,00000,DISTRICT,Udaipur,Urban,0,0,17,"1,27,558","6,08,426","3,15,485","2,92,941",180.61,"3,369"
08,130,00685,SUB-DISTRICT,Mavli,Total,178,1,2,"51,890","2,53,344","1,28,830","1,24,514",841.82,301
08,130,00685,SUB-DISTRICT,Mavli,Rural,178,1,0,"45,513","2,21,333","1,12,497","1,08,836",814.81,272
08,130,00685,SUB-DISTRICT,Mavli,Urban,0,0,2,"6,377","32,011","16,333","15,678",27.01,"1,185"
08,130,00686,SUB-DISTRICT,Gogunda,Total,232,0,1,"44,340","2,14,948","1,09,673","1,05,275",1012.50,212
08,130,00686,SUB-DISTRICT,Gogunda,Rural,232,0,0,"42,478","2,06,197","1,05,190","1,01,007",1004.87,205
08,130,00686,SUB-DISTRICT,Gogunda,Urban,0,0,1,"1,862","8,751","4,483","4,268",7.63,"1,147"
08,130,00687,SUB-DISTRICT,Kotra,Total,262,0,0,"41,790","2,30,532","1,16,764","1,13,768",1737.80,133
08,130,00687,SUB-DISTRICT,Kotra,Rural,262,0,0,"41,790","2,30,532","1,16,764","1,13,768",1737.80,133
08,130,00687,SUB-DISTRICT,Kotra,Urban,0,0,0,0,0,0,0,0.00,0
08,130,00688,SUB-DISTRICT,Jhadol,Total,283,0,0,"51,655","2,49,297","1,26,124","1,23,173",1429.58,174
08,130,00688,SUB-DISTRICT,Jhadol,Rural,283,0,0,"51,655","2,49,297","1,26,124","1,23,173",1429.58,174
08,130,00688,SUB-DISTRICT,Jhadol,Urban,0,0,0,0,0,0,0,0.00,0
